isbn	category	title	autor	date
9780262101066	bioinformatics	An Introduction to Bioinformatics Algorithms (Computational Molecular Biology)	Neil C. Jones, Pavel A. Pevzne ...	August 1, 2004
9780412993916	bioinformatics	Introduction to computational biology	Michael S. Waterman 	1995
9781558607972	bioinformatics	Evolutionary computation in bioinformatics	edited by Gary B. Fogel, David ...	2003
9780815340812	bioinformatics	Biomolecular Crystallography	Bernhard Rupp 	October 20, 2009
9781859962725	bioinformatics	Instant Notes in Bioinformatics (Instant Notes Series)	D. R. Westhead 	October 16, 2002
9781588293466	bioinformatics	Bioinformatics and drug discovery	edited by Richard S. Larson 	2005
9780262024426	bioinformatics	Bioinformatics	Pierre Baldi 	1998
9780471210047	bioinformatics	Bioinformatics and functional genomics	Jonathan Pevsner 	2004
9780582327887	bioinformatics	Introduction to Bioinformatics	Teresa Attwood, David Parry-Sm ...	May 30, 2001
9789814401234	Biology	Information Theory And Evolution (2nd Edition) (Paperback)	John Scales Avery	0000
9783642273391	Biology	Hepatitis C Virus: From Molecular Virology to Antiviral Therapy (Current Topics in Microbiology and Immunology)		0000
9780199211135	Biology	The evolution and emergence of RNA viruses	Edward C. Holmes 	2009
9780007315123	Biology	Virolution The Most Important Evolutionary Book Since Dawkins Selfish Gene		2011
9780393351552	Biology	Ebola	David Quammen 	2014
9783659634703	Biology	Hepatitis C Virus NS3, NS5A and NS5B Proteins as Drug Targets	Iqbal Mazhar	0000
9780226983363	Biology	A Planet of Viruses	Carl Zimmer	0000
9780262112666	Biology	Foundations of systems biology	edited by Hiroaki Kitano. 	2001
9780120398638	Biology	Virus structure and assembly	edited by Polly Roy ; series e ...	2005
9781848001244	Biology	Protein-protein interactions and networks	Anna Panchenko, Teresa Przytyc ...	2008
9780195182187	Biology	Three-dimensional electron microscopy of macromolecular assemblies	Frank, J. 	2005
9780521799591	Biology	Hepatitis C Virus	Mark A. Feitelson 	April 29, 2002
9783527321186	Biology	Chemokine receptors as drug targets	Martine J. Smit, Sergio A. Lir ...	2011
9780199208227	Biology	Reconstructing Evolution		August 3, 2007
9780521730716	Biology	The phylogenetic handbook	edited by Philippe Lemey, Marc ...	2009
9781904933205	Biology	Hepatitis C Viruses	Seng-Lai Tan 	July 10, 2006
9780195327311	Biology	Viruses, plagues, and history	Michael B. A. Oldstone 	2010
9780471586517	Biology	Biochemistry	Donald Voet 	1995
9781405151665	Biology	Protein evolution	László Patthy 	2007
9780815340812	Biology	Biomolecular Crystallography	Bernhard Rupp 	October 20, 2009
9780582382107	Biology	Molecular Modelling	Andrew Leach 	March 30, 2001
9782759804030	Biology	La machinerie de la vie	Goodsell, David	0000
9781565921153	computer science	Pthreads programming	Bradford Nichols 	1998
9780201924886	computer science	Effective C++	Scott Meyers 	1998
9780201580433	computer science	On to C++	Patrick Henry Winston 	1994
9780201633719	computer science	More Effective C++	Scott Meyers 	December 29, 1995
9786130315467	computer science	Stable Model Semantics	Lambert M. Surhone	0000
9780262150392	computer science	The craft of Prolog	Richard A. O'Keefe 	1990
9783843365826	computer science	Predicate Answer Set Programming with Coinduction	Min, Richard	0000
9786130646691	computer science	Answer set programming (Paperback)		0000
9780124104143	computer science	Intel Xeon Phi Coprocessor Highperformance Programming		2013
9780124159938	computer science	Structured parallel programing patterns for efficient computation	Michael D. McCool 	2012
9780123736550	computer science	In silico	Jason Sharpe 	2008
9780471984252	computer science	Introduction to computational chemistry	Frank Jensen 	1999
9780198570493	computer science	An Introduction to Quantum Computing	Phillip Kaye, Raymond Laflamme ...	January 1, 2007
9780937175903	computer science	Managing projects with Make	Andrew Oram 	1993
9781558605886	computer science	Spatial databases	Philippe Rigaux 	2002
9780124109827	computer science	Nonserial Dynamic Programming	Umberto Bertele	0000
9780735710016	computer science	Vi IMproved, Vim	Steve Oualline 	2001
9780937175590	computer science	Sed & awk	Dale Dougherty 	1990
0137231563	computer science	Programming in C[plus plus]	Stephen C. Dewhurst 	1989
9780201541991	computer science	The LaTeX companion	Michel Goossens 	1994
0201134470	computer science	The TeXbook	Donald Knuth 	1986
9780201703108	computer science	Win32 System Programming	Johnson M. Hart 	September 29, 2000
9781565926103	computer science	Programming PHP	Rasmus Lerdorf 	2002
9780937175675	computer science	Learning the vi editor	Linda Lamb 	1990
0521431085	computer science	Numerical recipes in C	William H. Press ... [et al.]. 	1992
9780120884070	computer science	Data Mining	Ian H. Witten, Eibe Frank 	June 10, 2005
9780201854695	computer science	The LaTex graphics companion	Michel Goossens 	1997
9781575862170	computer science	Time warps, string edits, and macromolecules	[edited by] David Sankoff and  ...	1999
9781846198847	Divers	Deadly Medicines And Organised Crime How Big Pharma Has Corrupted Healthcare		2013
9780387947662	Divers	The craft of scientific writing	Michael Alley 	1996
9780128015001	Divers	Communicate Science Papers, Presentations, and Posters Effectively	Patience, Gregory S., Boffito, Daria C., Patience, Paul	0000
9780582803121	Divers	A guide to scientific writing	David Lindsay 	1995
9780135787823	mathematics	A first course in Fourier analysis	David W. Kammler 	2000
0849378788	mathematics	Wavelets and other orthogonal systems with applications	Gilbert G. Walter 	1994
9789814350464	mathematics	Symmetry-Adapted Basis Sets	AVERY, JOHN SCALES	0000
082840125x	mathematics	Elementary Number Theory. With exercises by Paul T. Bateman and Eugene E. Kohlbecker	Landau, Edmund	0000
0333291700	mathematics	Mathematics for computing	G. P. McKeown 	1982
9780521597715	mathematics	Fourier series and integral transforms	Allan Pinkus 	1997
9783832528508	mathematics	Fast Polynomial Transforms	Keiner, Jens	0000
9780521134088	mathematics	An introduction to the theory of graph spectra	Dragoš M. Cvetković 	2010
9781568810478	mathematics	The world according to wavelets	Barbara Burke Hubbard 	1996
0471277118	mathematics	Practical Methods of Optimization (Practical Methods of Optimization)	Roger Fletcher 	August 27, 1980
9780252725487	mathematics	The Mathematical Theory of Communication	Claude E Shannon, Warren Weave ...	October 1, 1963
9780198534181	mathematics	The algebraic eigenvalue problem	J. H. Wilkinson 	1988
9780486652146	mathematics	The functions of mathematical physics	Harry Hochstadt 	1986
9780340676530	mathematics	Numbers and proofs	R. B. J. T. Allenby 	1997
0828402698	mathematics	Analytic function theory.	Einar Hille 	1973
9780030969713	mathematics	Calculus.	Stanley I. Grossman 	1992
9780486612720	mathematics	Handbook of mathematical functions with formulas, graphs, and mathematical tables	edited by Milton Abramowitz an ...	1972
6780712084362	mathematics	NA	NA	0000
9780122947575	mathematics	Table of integrals, series, and products	I. S. Gradshteĭn 	2000
9780471149552	mathematics	Molecular symmetry and group theory	Robert L. Carter 	1998
9780470390634	mathematics	Statistical distributions.		2010
9781461419389	mathematics	Spectra of Graphs	Andries E. Brouwer 	2012
9780521102445	physics/chemistry	Angular Momentum in Quantum Physics: Theory and Application (Paperback)	L. C. Biedenharn, James D. Louck	0000
0471995789	physics/chemistry	The chemical bond	J. N. Murrell 	1978
0471018686	physics/chemistry	Molecular symmetry and group theory	Vincent, Alan 	1977
9780121898007	physics/chemistry	Group Theory in Physics, Volume 1	John F. Cornwell 	July 24, 1997
9780521812603	physics/chemistry	Special Relativity	Patricia M. Schwarz, John H. S ...	May 10, 2004
9780201539295	physics/chemistry	Modern quantum mechanics	J. J. Sakurai 	1994
9783540594789	physics/chemistry	Crystallography	Walter Borchardt-Ott 	1995
0201052296	physics/chemistry	Elements of statistical thermodynamics	Leonard Kollender Nash 	1974
9783540736172	physics/chemistry	Free energy calculations	Ch. Chipot, A. Pohorille, edit ...	2007
9780486432465	physics/chemistry	Quantum chemistry	Henry F. Schaefer 	2004
9780521010696	physics/chemistry	Relativity	Hans Stephani 	2004
0198551304	physics/chemistry	Molecular Quantum Mechanics: An Introduction to Quantum Chemistry: Vol 2: Part III	Atkins, Peter W.	0000
0198551290	physics/chemistry	Molecular Quantum Mechanics: An Introduction to Quantum Chemistry: Vol 1: Parts I and II	Atkins, Peter W.	0000
9780486684802	physics/chemistry	Elementary theory of angular momentum	Morris Edgar Rose 	1995
9780582444980	physics/chemistry	Introduction to Quantum Mechanics		0000
9781584884729	physics/chemistry	Normal Mode Analysis		December 12, 2005
